salinity_group,replicate,threshold_kpa
High Salinity,159,1.5526360376664308
High Salinity,160,1.9638762
High Salinity,161,1.9638762
High Salinity,162,1.9638762
High Salinity,163,1.9622798
High Salinity,164,1.9638762
High Salinity,165,1.617259
High Salinity,166,1.9638762
High Salinity,167,1.6186382851894832
High Salinity,168,1.9638762
High Salinity,169,1.9638762
High Salinity,170,1.9712435
High Salinity,171,1.9638762
High Salinity,172,1.9638762
High Salinity,173,1.9638762
High Salinity,174,1.6597313
High Salinity,175,1.5442972
High Salinity,176,1.5571793280830861
High Salinity,177,1.6084539650264573
High Salinity,178,1.9638762
High Salinity,179,1.5442972
High Salinity,180,1.9122154
